file,line,type,commit,author,date,time,timezone,datetime,depth,length
style.css,1,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,11
style.css,2,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,3,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,3
style.css,4,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,18
style.css,5,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,12
style.css,6,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,17
style.css,7,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,10
style.css,8,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,17
style.css,9,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,18
style.css,10,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,11,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,17
style.css,12,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,9
style.css,13,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,15
style.css,14,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,15,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,10
style.css,16,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,17,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,18,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,19,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,7
style.css,20,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,21,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,22,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,6
style.css,23,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,6
style.css,24,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,19
style.css,25,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,26,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,27,css,fdf930dd,dallasplunkett,2025-01-10,10:46:49,-08:00,2025-01-10T10:46:49-08:00,0,2
style.css,28,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,6
style.css,29,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,7
style.css,30,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,35
style.css,31,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,32,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,20
style.css,33,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,34,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,35,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,11
style.css,36,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,37,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,8
style.css,38,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,12
style.css,39,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,8
style.css,40,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,18
style.css,41,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,42,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,43,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,12
style.css,44,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,45,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,46,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,15
style.css,47,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,48,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,49,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,5
style.css,50,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,20
style.css,51,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,52,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,53,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,1
style.css,54,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,8
style.css,55,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,56,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,26
style.css,57,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,16
style.css,58,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,39
style.css,59,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,60,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,61,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,3
style.css,62,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,8
style.css,63,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,24
style.css,64,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,18
style.css,65,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,11
style.css,66,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,15
style.css,67,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,1,56
style.css,68,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,69,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,70,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,9
style.css,71,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,26
style.css,72,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,48
style.css,73,css,33610443,dallasplunkett,2025-01-22,12:16:09,-08:00,2025-01-22T12:16:09-08:00,1,13
style.css,74,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,75,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,76,css,aa5afdb5,dallasplunkett,2025-01-22,10:38:32,-08:00,2025-01-22T10:38:32-08:00,0,10
style.css,77,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,54
style.css,78,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,13
style.css,79,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,80,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,81,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,9
style.css,82,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,83,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,2
style.css,84,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,85,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,18
style.css,86,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,87,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,88,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,89,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,3
style.css,90,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,91,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,27
style.css,92,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,93,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,94,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,2
style.css,95,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,6
style.css,96,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,8
style.css,97,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,24
style.css,98,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,99,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,32
style.css,100,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,25
style.css,101,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,102,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,0
style.css,103,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,0,4
style.css,104,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,41
style.css,105,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,10
style.css,106,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,26
style.css,107,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,9
style.css,108,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,9
style.css,109,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,25
style.css,110,css,66337f75,dallasplunkett,2025-01-15,22:25:13,-08:00,2025-01-15T22:25:13-08:00,1,12
style.css,111,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,112,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,1,50
style.css,113,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
style.css,114,css,ed3d583d,dallasplunkett,2025-01-16,19:54:56,-08:00,2025-01-16T19:54:56-08:00,0,0
